Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
Total greenhouse gas emissions (kt of CO2 equivalent),Afghanistan,11678.75561,13231.10066,15980.73034,15255.39353,16635.76076,21349.18799,32446.46096,31165.8158,31750.55044,31119.04539
Total greenhouse gas emissions (kt of CO2 equivalent),Albania,6747.458751,7120.070576,7836.93328,8759.443411,9016.941954,8733.156627,9623.607956,9738.800297,9924.274102,8304.29494
Total greenhouse gas emissions (kt of CO2 equivalent),Algeria,134958.2579,147141.9815,152598.5186,165592.4705,190102.764,206120.0102,216395.9083,252331.6686,265628.7808,266702.6795
Total greenhouse gas emissions (kt of CO2 equivalent),Andorra,439.654209,493.417862,570.854941,604.710044,662.574159,639.772817,602.068676,574.862934,585.144308,577.573639
Total greenhouse gas emissions (kt of CO2 equivalent),Angola,47376.69587,54939.69209,59029.60883,60758.93298,67766.24188,73853.17674,80306.80869,83628.13621,82023.70755,70781.0562
Total greenhouse gas emissions (kt of CO2 equivalent),Antigua and Barbuda,387.839902,454.952501,553.953387,647.976092,749.459707,913.476977,1006.705256,1061.010555,1150.138886,1203.631334
Total greenhouse gas emissions (kt of CO2 equivalent),Argentina,259460.8354,275749.709,292407.6634,284403.3884,325978.7317,357380.4391,352870.3484,365636.2677,379420.2746,361433.0173
Total greenhouse gas emissions (kt of CO2 equivalent),Armenia,8519.598427,5479.595003,5607.687095,5773.022041,7316.871064,8886.002523,8203.359102,9132.807486,9251.278735,10422.04117
Total greenhouse gas emissions (kt of CO2 equivalent),Australia,494326.0775,508246.9459,581899.3874,630234.9976,571056.9014,590310.8141,690001.8173,621420.4289,647518.2719,571903.1199
Total greenhouse gas emissions (kt of CO2 equivalent),Austria,75015.36331,81297.14214,78470.02491,84500.38127,90356.77091,84953.81617,81738.65126,75143.18762,78699.13623,71017.8287
Total greenhouse gas emissions (kt of CO2 equivalent),Azerbaijan,61846.42011,36089.3664,36436.20579,37660.28458,43537.95337,49560.73027,46785.0029,52262.55666,51758.38444,55351.99383
